iter	Logloss
0	0.6616502009
1	0.6432032398
2	0.6196845799
3	0.5961263819
4	0.5737742306
5	0.5566387975
6	0.5433703173
7	0.5339536612
8	0.5171531152
9	0.506373459
10	0.4932257713
11	0.4850482755
12	0.4773223983
13	0.4642628064
14	0.4547580974
15	0.446924628
16	0.439393102
17	0.4347421391
18	0.4274489592
19	0.421796265
20	0.418072267
21	0.4123760583
22	0.4055371717
23	0.4017719695
24	0.3969024814
25	0.3943484476
26	0.3902313653
27	0.3849463168
28	0.3806151528
29	0.3775072501
30	0.3744011506
31	0.3722818772
32	0.3692540406
33	0.3661682012
34	0.3644671596
35	0.3605274439
36	0.35732769
37	0.3540750076
38	0.3516875496
39	0.3491054924
40	0.3467460137
41	0.3454693789
42	0.3438368062
43	0.3409426825
44	0.3396593099
45	0.3371004703
46	0.3352738553
47	0.3343131755
48	0.3327605398
49	0.3312158352
50	0.3290292411
51	0.3270491844
52	0.3259350646
53	0.3240511093
54	0.3223617589
55	0.3209619376
56	0.3190827349
57	0.3178219619
58	0.3161758603
59	0.3143299841
60	0.3126990773
61	0.3118802365
62	0.311375103
63	0.3102075345
64	0.3092245752
65	0.3078426704
66	0.3067456376
67	0.3045975237
68	0.3028347368
69	0.301728673
70	0.3001549764
71	0.2988561882
72	0.2968645334
73	0.2956907964
74	0.2940299128
75	0.2930396865
76	0.2920646273
77	0.2906001436
78	0.2894901477
79	0.2883809147
80	0.2875499002
81	0.2866604756
82	0.2849920947
83	0.2833303158
84	0.2826278833
85	0.2805770776
86	0.2802448604
87	0.2787690942
88	0.2776414492
89	0.2760524586
90	0.2755469133
91	0.2750825378
92	0.2737735419
93	0.2733332343
94	0.2725936001
95	0.2716128303
96	0.2709924124
97	0.2703123825
98	0.2690343756
99	0.268556564
100	0.2679582088
101	0.2671476377
102	0.2664622746
103	0.2659246284
104	0.2652875272
105	0.2644959955
106	0.2635816562
107	0.2622788316
108	0.2617553434
109	0.2611470544
110	0.2603370679
111	0.2599637259
112	0.2597407511
113	0.2593962443
114	0.2589513519
115	0.2575907388
116	0.2563946849
117	0.2555687696
118	0.2547051211
119	0.2537004822
120	0.2529856662
121	0.2524455934
122	0.2520830931
123	0.2511271351
124	0.2503707631
125	0.2492858993
126	0.2486815898
127	0.2477935158
128	0.2474744918
129	0.2465217761
130	0.246145283
131	0.2455814912
132	0.2443326223
133	0.2440501517
134	0.2431581115
135	0.2425982133
136	0.2423963963
137	0.2416559684
138	0.2412029596
139	0.240383092
140	0.2400907485
141	0.2392933761
142	0.2382877194
143	0.2365883371
144	0.2353203037
145	0.235224632
146	0.2339449065
147	0.2337094664
148	0.2332951198
149	0.2329302535
150	0.2326800209
151	0.231898988
152	0.2312212003
153	0.230594827
154	0.230022023
155	0.2290728566
156	0.2283295372
157	0.2275489931
158	0.227202199
159	0.2264732495
160	0.2254782508
161	0.2248640283
162	0.2241822286
163	0.2235078743
164	0.2230004934
165	0.2225479263
166	0.2222537509
167	0.2211810095
168	0.2207872396
169	0.2202390984
170	0.2197034512
171	0.2192923139
172	0.2189154133
173	0.2173101255
174	0.2164113831
175	0.2157614935
176	0.2149195978
177	0.2140653387
178	0.2133752013
179	0.2127830483
180	0.2118857399
181	0.2114142826
182	0.2104281265
183	0.209398268
184	0.2087552659
185	0.2076668933
186	0.2071700737
187	0.2066340976
188	0.2060051354
189	0.2049265351
190	0.204438081
191	0.2037425955
192	0.2031697887
193	0.2027138099
194	0.2023377303
195	0.2017862645
196	0.2013963115
197	0.2006653055
198	0.2003314529
199	0.1999072053
200	0.199533806
201	0.198976462
202	0.1982805688
203	0.1976341602
204	0.1969943515
205	0.1965801507
206	0.1958956912
207	0.1951318404
208	0.1942051364
209	0.1937556913
210	0.192987135
211	0.1925878149
212	0.1923144726
213	0.1918026586
214	0.1909740608
215	0.190374473
216	0.1898344581
217	0.1890949333
218	0.1884169427
219	0.1877735003
220	0.1873241995
221	0.1868229851
222	0.186279504
223	0.1859935002
224	0.185139874
225	0.1845132902
226	0.1843509382
227	0.1835632964
228	0.1831843754
229	0.1825175264
230	0.1820029462
231	0.1815577786
232	0.1812922207
233	0.1807722841
234	0.1803407713
235	0.179872841
236	0.1794292346
237	0.1790520558
238	0.1785564784
239	0.1779701726
240	0.1777063585
241	0.1772751622
242	0.1765435854
243	0.1759909029
244	0.1752035206
245	0.1747285803
246	0.1742809814
247	0.1739911526
248	0.1734287122
249	0.1726943922
250	0.1721157236
251	0.1719379521
252	0.171482433
253	0.1708570981
254	0.1704910383
255	0.1698905612
256	0.1693397156
257	0.168933273
258	0.1688050106
259	0.1683427175
260	0.1678277851
261	0.16717086
262	0.1666973481
263	0.1661560854
264	0.1657486542
265	0.1651516736
266	0.1646575708
267	0.164144396
268	0.1637669347
269	0.1634421364
270	0.1631168099
271	0.1628002276
272	0.1625286144
273	0.1623143745
274	0.1619907861
275	0.1617723814
276	0.1613039431
277	0.1608993467
278	0.1603744441
279	0.1602793182
280	0.160024649
281	0.1594741
282	0.1588551887
283	0.1582826963
284	0.1581253704
285	0.1575299533
286	0.1570745071
287	0.156656487
288	0.1563111944
289	0.1557913658
290	0.1555197276
291	0.1553133268
292	0.1548425784
293	0.1539627038
294	0.1535091536
295	0.1531154164
296	0.1525619589
297	0.1524650916
298	0.1520190594
299	0.1516739683
